	0	Colour	Node width	Transparency
0	C00315	#ff0000	W20	0.7
1	C00026	#ff0000	W20	0.7
2	C06001	#ff0000	W20	0.7
3	C03761	#ff0000	W20	0.7
4	C05582	#ff0000	W20	0.7
5	C00597	#ff0000	W20	0.7
6	C00642	#ff0000	W20	0.7
7	C00262	#ff0000	W20	0.7
8	C14828	#ff0000	W20	0.7
9	C01595	#ff0000	W20	0.7
10	C02679	#ff0000	W20	0.7
11	C03793	#ff0000	W20	0.7
12	C02714	#ff0000	W20	0.7
13	C03145	#ff0000	W20	0.7
14	C00021	#ff0000	W20	0.7
15	C00020	#ff0000	W20	0.7
16	C00170	#ff0000	W20	0.7
17	C00049	#ff0000	W20	0.7
18	C05852	#ff0000	W20	0.7
19	C03672	#ff0000	W20	0.7
20	C00166	#ff0000	W20	0.7
21	C00099	#ff0000	W20	0.7
22	C00386	#ff0000	W20	0.7
23	C00500	#ff0000	W20	0.7
24	C01089	#ff0000	W20	0.7
25	C00588	#ff0000	W20	0.7
26	C02140	#ff0000	W20	0.7
27	C00762	#ff0000	W20	0.7
28	C01419	#ff0000	W20	0.7
29	C00491	#ff0000	W20	0.7
30	C00319	#ff0000	W20	0.7
31	C02291	#ff0000	W20	0.7
32	C00836	#ff0000	W20	0.7
33	C00016	#ff0000	W20	0.7
34	C00122	#ff0000	W20	0.7
35	C00489	#ff0000	W20	0.7
36	C01921	#ff0000	W20	0.7
37	C00581	#ff0000	W20	0.7
38	C00135	#ff0000	W20	0.7
39	C00735	#ff0000	W20	0.7
40	C00519	#ff0000	W20	0.7
41	C00294	#ff0000	W20	0.7
42	C00137	#ff0000	W20	0.7
43	C00407	#ff0000	W20	0.7
44	C00956	#ff0000	W20	0.7
45	C00327	#ff0000	W20	0.7
46	C00123	#ff0000	W20	0.7
47	C00149	#ff0000	W20	0.7
48	C00073	#ff0000	W20	0.7
49	C00077	#ff0000	W20	0.7
50	C00295	#ff0000	W20	0.7
51	C08362	#ff0000	W20	0.7
52	C00079	#ff0000	W20	0.7
53	C00009	#ff0000	W20	0.7
54	C00148	#ff0000	W20	0.7
55	C00186	#ff0000	W20	0.7
56	C00250	#ff0000	W20	0.7
57	C19962	#ff0000	W20	0.7
58	C00780	#ff0000	W20	0.7
59	C00245	#ff0000	W20	0.7
60	C06424	#ff0000	W20	0.7
61	C00086	#ff0000	W20	0.7
62	C00299	#ff0000	W20	0.7
63	C00025	#ff0000	W20	0.7
64	C00078	#ff0000	W20	0.7
65	C00183	#ff0000	W20	0.7
66	C00221	#ff0000	W20	0.7
67	C00109	#ff0000	W20	0.7
68	C00212	#ff0000	W20	0.7
69	C00936	#ff0000	W20	0.7
70	C01026	#ff0000	W20	0.7
71	C00041	#ff0000	W20	0.7
72	C00082	#ff0000	W20	0.7
73	C02067	#ff0000	W20	0.7
74	C00022	#ff0000	W20	0.7
75	C00106	#ff0000	W20	0.7
76	C00181	#ff0000	W20	0.7
77	C00475	#ff0000	W20	0.7
78	C02336	#ff0000	W20	0.7
79	C00147	#ff0000	W20	0.7
80	C00152	#ff0000	W20	0.7
81	C00337	#ff0000	W20	0.7
82	C01585	#ff0000	W20	0.7
83	C01551	#ff0000	W20	0.7
84	C01879	#ff0000	W20	0.7
85	C00213	#ff0000	W20	0.7
86	C00346	#ff0000	W20	0.7
87	C00258	#ff0000	W20	0.7
88	C02710	#ff0000	W20	0.7
89	C02712	#ff0000	W20	0.7
90	C00486	#ff0000	W20	0.7
91	C02477	#ff0000	W20	0.7
92	C02946	#ff0000	W20	0.7
93	C05145	#ff0000	W20	0.7
94	C00158	#ff0000	W20	0.7
95	C02356	#ff0000	W20	0.7
96	C00366	#ff0000	W20	0.7
97	C05283	#ff0000	W20	0.7
98	C01179	#ff0000	W20	0.7
99	C04540	#ff0000	W20	0.7
100	C00164	#ff0000	W20	0.7
101	C00300	#ff0000	W20	0.7
102	C02494	#ff0000	W20	0.7
103	C00114	#ff0000	W20	0.7
104	C20827	#ff0000	W20	0.7
105	C11695	#ff0000	W20	0.7
106	C16512	#ff0000	W20	0.7
107	C05466	#ff0000	W20	0.7
108	C05465	#ff0000	W20	0.7
109	C05122	#ff0000	W20	0.7
110	C05463	#ff0000	W20	0.7
111	C00318	#ff0000	W20	0.7
112	C07086	#ff0000	W20	0.7
113	C02989	#ff0000	W20	0.7
114	C01152	#ff0000	W20	0.7
115	C16741	#ff0000	W20	0.7
116	C00328	#ff0000	W20	0.7
117	C00624	#ff0000	W20	0.7
118	C01762	#ff0000	W20	0.7
119	C00474	#ff0000	W20	0.7
120	C05464	#ff0000	W20	0.7
121	C07130	#ff0000	W20	0.7
122	C07480	#ff0000	W20	0.7
123	C00628	#ff0000	W20	0.7
124	C13747	#ff0000	W20	0.7
125	C00233	#ff0000	W20	0.7
126	C06124	#ff0000	W20	0.7
127	C03264	#ff0000	W20	0.7
128	C01384	#ff0000	W20	0.7
129	C05824	#ff0000	W20	0.7
130	C00209	#ff0000	W20	0.7
131	C12283	#ff0000	W20	0.7
132	C01924	#ff0000	W20	0.7
133	C02427	#ff0000	W20	0.7
134	C00284	#ff0000	W20	0.7
135	C01753	#ff0000	W20	0.7
136	C04643	#ff0000	W20	0.7
137	C15557	#ff0000	W20	0.7
138	C01657	#ff0000	W20	0.7
139	C16357	#ff0000	W20	0.7
140	C00847	#ff0000	W20	0.7
141	C16533	#ff0000	W20	0.7
142	C05828	#ff0000	W20	0.7
143	C03519	#ff0000	W20	0.7
144	C03882	#ff0000	W20	0.7
145	C01789	#ff0000	W20	0.7
146	C10172	#ff0000	W20	0.7
147	C16353	#ff0000	W20	0.7
148	C16361	#ff0000	W20	0.7
149	C16365	#ff0000	W20	0.7
150	C16366	#ff0000	W20	0.7
151	C16358	#ff0000	W20	0.7
152	C01103	#ff0000	W20	0.7
153	C02242	#ff0000	W20	0.7
154	C06231	#ff0000	W20	0.7
155	C03642	#ff0000	W20	0.7
156	C01181	#ff0000	W20	0.7
157	C11332	#ff0000	W20	0.7
158	C02727	#ff0000	W20	0.7
159	C09213	#ff0000	W20	0.7
160	C00350	#ff0000	W20	0.7
161	C08591	#ff0000	W20	0.7
162	C02646	#ff0000	W20	0.7
163	C02630	#ff0000	W20	0.7
164	C01073	#ff0000	W20	0.7
165	C08269	#ff0000	W20	0.7
166	C01127	#ff0000	W20	0.7
167	C05793	#ff0000	W20	0.7
168	C22040	#ff0000	W20	0.7
169	C11135	#ff0000	W20	0.7
170	C12312	#ff0000	W20	0.7
171	C11136	#ff0000	W20	0.7
172	C13690	#ff0000	W20	0.7
173	C17333	#ff0000	W20	0.7
174	C05595	#ff0000	W20	0.7
175	C08493	#ff0000	W20	0.7
176	C02370	#ff0000	W20	0.7
